"","difference","method","beta","sigma","xi","n","alpha","time","hatsigma","hatxi"
"1","-1.5443582329861","Langousis","0.95","0.1","-0.15","2000","0.1","0.513739109039307","1.24108079447443","-0.659586253250492"
"2","-0.237477110913542","Residuals","0.95","0.1","-0.15","2000","0.1","0.0726721286773682","0.361716497607209","-0.629049615566237"
"3","0.0376163401055258","AD","0.95","0.1","-0.15","2000","0.1","1.73007488250732","0.0768277607454605","-0.172568633995721"
"4","0.0123223428371055","CVM","0.95","0.1","-0.15","2000","0.1","1.45200610160828","0.101939467002706","-0.269285101469455"
"5","-1.53015667153453","Langousis","0.95","0.1","-0.15","2000","0.05","0.52165699005127","1.23150850879057","-0.67419888064713"
"6","-1.54485362695147","Residuals","0.95","0.1","-0.15","2000","0.05","0.0300028324127197","1.24838647910196","-0.678098317627062"
"7","-0.005992590434031","AD","0.95","0.1","-0.15","2000","0.05","1.20529913902283","0.120062434523419","-0.342147334208821"
"8","-0.0287818304081975","CVM","0.95","0.1","-0.15","2000","0.05","1.27453708648682","0.152332220815067","-0.44586593314975"
"9","-1.54058589883242","Langousis","0.95","0.1","-0.15","2000","0.005","0.544241905212402","1.22737903955992","-0.660826882724933"
"10","-1.54485362695147","Residuals","0.95","0.1","-0.15","2000","0.005","0.0363430976867676","1.23187447628115","-0.661754158695111"
"11","0.00433272680284258","AD","0.95","0.1","-0.15","2000","0.005","1.20947003364563","0.0899523010245651","-0.122536539828872"
"12","-0.00622697522499882","CVM","0.95","0.1","-0.15","2000","0.005","1.19795989990234","0.106463079760168","-0.212645725790444"
"13","-1.54112531004438","Langousis","0.95","0.1","-0.15","2000","0.001","0.513514995574951","1.12782097081172","-0.588262153508704"
"14","0.00131540276915931","Residuals","0.95","0.1","-0.15","2000","0.001","0.0574541091918945","0.0928677379196473","-0.132810556122322"
"15","-0.0126874026191854","AD","0.95","0.1","-0.15","2000","0.001","1.28727316856384","0.108140736959741","-0.198429639104383"
"16","-0.074153916707157","CVM","0.95","0.1","-0.15","2000","0.001","1.17881417274475","0.183421219904001","-0.368125089088424"
"17","-1.54469769747576","Langousis","0.95","0.1","-0.15","10000","0.1","3.19141507148743","1.17993951498895","-0.617326679696874"
"18","0.000914462539804095","Residuals","0.95","0.1","-0.15","10000","0.1","0.415821075439453","0.100201647509556","-0.187451436252583"
"19","0.000159189850192032","AD","0.95","0.1","-0.15","10000","0.1","13.6993560791016","0.10096246331424","-0.190830446533984"
"20","0.000159189850192032","CVM","0.95","0.1","-0.15","10000","0.1","13.0662829875946","0.10096246331424","-0.190830446533984"
"21","-1.5442459332713","Langousis","0.95","0.1","-0.15","10000","0.05","2.95254707336426","1.13950512264762","-0.578104623502646"
"22","0.000181004471047963","Residuals","0.95","0.1","-0.15","10000","0.05","0.327372074127197","0.0933267388222114","-0.133517717369633"
"23","-0.00270131717756539","AD","0.95","0.1","-0.15","10000","0.05","11.8840019702911","0.097034448002127","-0.150878489231976"
"24","-0.00656852022987908","CVM","0.95","0.1","-0.15","10000","0.05","12.2073609828949","0.102524749541005","-0.17391485683869"
"25","-1.54445732182707","Langousis","0.95","0.1","-0.15","10000","0.005","2.83030700683594","1.1502710614069","-0.585219251946539"
"26","6.18828907534841e-05","Residuals","0.95","0.1","-0.15","10000","0.005","0.421183109283447","0.114159396202339","-0.233492267749852"
"27","0.0142146732785278","AD","0.95","0.1","-0.15","10000","0.005","14.8440318107605","0.105867951572853","-0.198881528313141"
"28","-0.00838924236344796","CVM","0.95","0.1","-0.15","10000","0.005","14.4145650863647","0.123203257808816","-0.253049379179917"
"29","-1.54391743166433","Langousis","0.95","0.1","-0.15","10000","0.001","2.80640506744385","1.13148577829053","-0.571516027542454"
"30","6.60012484279271e-05","Residuals","0.95","0.1","-0.15","10000","0.001","0.493201017379761","0.0976993624538833","-0.135414853731007"
"31","-0.000511988438255839","AD","0.95","0.1","-0.15","10000","0.001","11.8420522212982","0.0980919471497283","-0.137028968068027"
"32","-0.010112993471838","CVM","0.95","0.1","-0.15","10000","0.001","11.6652879714966","0.112243641701077","-0.191359751571988"
"33","-1.54272434639011","Langousis","0.95","0.1","0","2000","0.1","0.422950983047485","1.13924553669607","-0.5582354098778"
